nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-121250
iter 00001 | success 0.015 | policy_loss 0.00191 | value_loss 8997.17706 | Vmean 0.001 | Rmean 60.267 | Vrmse 134.226 | VexpVar 0.000 | adv_std 119.935 | elapsed 33.88s
iter 00002 | success 0.017 | policy_loss 0.00006 | value_loss 8260.24084 | Vmean 0.345 | Rmean 54.341 | Vrmse 128.602 | VexpVar 0.000 | adv_std 116.718 | elapsed 31.66s
iter 00003 | success 0.020 | policy_loss -0.00014 | value_loss 7370.79089 | Vmean 0.869 | Rmean 48.114 | Vrmse 121.482 | VexpVar 0.001 | adv_std 111.918 | elapsed 30.19s
iter 00004 | success 0.026 | policy_loss -0.00009 | value_loss 7081.57184 | Vmean 1.810 | Rmean 45.905 | Vrmse 119.081 | VexpVar 0.002 | adv_std 110.616 | elapsed 31.18s
iter 00005 | success 0.032 | policy_loss -0.00010 | value_loss 6977.94870 | Vmean 2.631 | Rmean 42.701 | Vrmse 118.195 | VexpVar 0.005 | adv_std 111.196 | elapsed 33.33s
iter 00006 | success 0.029 | policy_loss 0.00001 | value_loss 6665.59741 | Vmean 3.107 | Rmean 42.574 | Vrmse 115.517 | VexpVar 0.006 | adv_std 108.567 | elapsed 30.20s
iter 00007 | success 0.036 | policy_loss -0.00002 | value_loss 6727.12177 | Vmean 3.902 | Rmean 40.829 | Vrmse 116.048 | VexpVar 0.009 | adv_std 110.016 | elapsed 28.71s
iter 00008 | success 0.041 | policy_loss -0.00005 | value_loss 6742.08762 | Vmean 4.422 | Rmean 39.706 | Vrmse 116.189 | VexpVar 0.012 | adv_std 110.701 | elapsed 28.96s
iter 00009 | success 0.046 | policy_loss -0.00007 | value_loss 6582.86652 | Vmean 4.692 | Rmean 38.521 | Vrmse 114.778 | VexpVar 0.014 | adv_std 109.679 | elapsed 28.09s
iter 00010 | success 0.054 | policy_loss -0.00011 | value_loss 6614.63623 | Vmean 5.121 | Rmean 35.712 | Vrmse 115.069 | VexpVar 0.020 | adv_std 110.928 | elapsed 27.46s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_10.pt
iter 00011 | success 0.065 | policy_loss -0.00006 | value_loss 6393.75165 | Vmean 5.231 | Rmean 32.195 | Vrmse 113.130 | VexpVar 0.023 | adv_std 109.870 | elapsed 32.04s
iter 00012 | success 0.069 | policy_loss -0.00003 | value_loss 6139.51865 | Vmean 6.557 | Rmean 29.894 | Vrmse 110.823 | VexpVar 0.031 | adv_std 108.338 | elapsed 29.33s
iter 00013 | success 0.066 | policy_loss -0.00010 | value_loss 6386.56686 | Vmean 7.143 | Rmean 33.115 | Vrmse 113.053 | VexpVar 0.036 | adv_std 110.030 | elapsed 31.07s
iter 00014 | success 0.078 | policy_loss -0.00014 | value_loss 6311.91824 | Vmean 7.316 | Rmean 30.330 | Vrmse 112.421 | VexpVar 0.043 | adv_std 110.040 | elapsed 30.49s
iter 00015 | success 0.105 | policy_loss -0.00009 | value_loss 6417.80139 | Vmean 6.802 | Rmean 21.965 | Vrmse 113.343 | VexpVar 0.055 | adv_std 112.324 | elapsed 31.23s
